  0.000000E+00  0.000000E+00  6.986761E-03 -2.808950E-03  1.386911E-02 -5.575921E-03  2.064821E-02 -8.301380E-03  2.732522E-02 -1.098579E-02
  3.390128E-02 -1.362961E-02  4.037753E-02 -1.623330E-02  4.675508E-02 -1.879730E-02  5.303504E-02 -2.132206E-02  5.921852E-02 -2.380802E-02
  6.530659E-02 -2.625561E-02  7.130034E-02 -2.866528E-02  7.720083E-02 -3.103743E-02  8.300912E-02 -3.337251E-02  8.872625E-02 -3.567092E-02
  9.435326E-02 -3.793309E-02  9.989116E-02 -4.015942E-02  1.053410E-01 -4.235032E-02  1.107037E-01 -4.450619E-02  1.159804E-01 -4.662744E-02
  1.211719E-01 -4.871445E-02  1.262793E-01 -5.076762E-02  1.313035E-01 -5.278733E-02  1.362456E-01 -5.477396E-02  1.411063E-01 -5.672790E-02
  1.458867E-01 -5.864953E-02  1.505877E-01 -6.053920E-02  1.552102E-01 -6.239730E-02  1.597552E-01 -6.422417E-02  1.642234E-01 -6.602020E-02
  1.686158E-01 -6.778572E-02  1.729333E-01 -6.952110E-02  1.771768E-01 -7.122668E-02  1.813471E-01 -7.290281E-02  1.854450E-01 -7.454983E-02
  1.894715E-01 -7.616808E-02  1.934273E-01 -7.775790E-02  1.973133E-01 -7.931962E-02  2.011302E-01 -8.085357E-02  2.048790E-01 -8.236007E-02
  2.085604E-01 -8.383945E-02  2.121752E-01 -8.529202E-02  2.157241E-01 -8.671810E-02  2.192081E-01 -8.811801E-02  2.226278E-01 -8.949205E-02
  2.259839E-01 -9.084052E-02  2.292774E-01 -9.216374E-02  2.325088E-01 -9.346200E-02  2.356790E-01 -9.473560E-02  2.387886E-01 -9.598483E-02
  2.418385E-01 -9.720999E-02  2.448292E-01 -9.841135E-02  2.477616E-01 -9.958922E-02  2.506363E-01 -1.007439E-01  2.534541E-01 -1.018756E-01
  2.562155E-01 -1.029846E-01  2.589214E-01 -1.040712E-01  2.615723E-01 -1.051358E-01  2.641689E-01 -1.061784E-01  2.667119E-01 -1.071995E-01
  2.692020E-01 -1.081992E-01  2.716397E-01 -1.091779E-01  2.740258E-01 -1.101358E-01  2.763609E-01 -1.110731E-01  2.786455E-01 -1.119901E-01
