tStep	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	oInt        	bInt        	tInt 
00000	0.100000E+01	0.227312E-15	0.000000E+00	0.673541E-16	0.000000E+00	0.000000E+00	0.284154E-16	0.000000E+00	0.000000E+00	0.000000E+00	0.145488E-16	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.841945E-17	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.100000E+01	0.227312E-15	0.673541E-16	0.284154E-16	0.145488E-16	0.841945E-17	0.100000E+01	0.871171E-15	0.100000E+01 
00009	0.100000E+01	0.136365E-09	0.159986E-09	0.362804E-10	0.256313E-10	0.556967E-20	0.147713E-10	0.890359E-11	0.234873E-20	0.923872E-31	0.744193E-11	0.417961E-11	0.117782E-20	0.646354E-31	0.979043E-42	0.426948E-11	0.230916E-11	0.671444E-21	0.421016E-31	0.959550E-42	0.779164E-53	0.100000E+01	0.296350E-09	0.619117E-10	0.236749E-10	0.116215E-10	0.657864E-11	0.100000E+01	0.470833E-09	0.100000E+01 
00019	0.100000E+01	0.507540E-09	0.381566E-07	0.133768E-09	0.609503E-08	0.320811E-15	0.542618E-10	0.211480E-08	0.135248E-15	0.122268E-23	0.272892E-10	0.992202E-09	0.678138E-16	0.855354E-24	0.274084E-32	0.156406E-10	0.548006E-09	0.386558E-16	0.557136E-24	0.268622E-32	0.415887E-41	0.100000E+01	0.386642E-07	0.622880E-08	0.216907E-08	0.101949E-08	0.563647E-09	0.100000E+01	0.183508E-07	0.100000E+01 
00029	0.999999E+00	0.106917E-08	0.857637E-06	0.277762E-09	0.136306E-06	0.165579E-12	0.112021E-09	0.472011E-07	0.697700E-13	0.142681E-19	0.561786E-10	0.221243E-07	0.349744E-13	0.998075E-20	0.709908E-27	0.321480E-10	0.122132E-07	0.199337E-13	0.650065E-20	0.695742E-27	0.233295E-34	0.999999E+00	0.858706E-06	0.136584E-06	0.473132E-07	0.221806E-07	0.122453E-07	0.100000E+01	0.373437E-06	0.100000E+01 
00039	0.999988E+00	0.166869E-08	0.708551E-05	0.424624E-09	0.111785E-05	0.116581E-10	0.169968E-09	0.385991E-06	0.490857E-11	0.845557E-17	0.849320E-10	0.180674E-06	0.245964E-11	0.591408E-17	0.351060E-23	0.485047E-10	0.996604E-07	0.140158E-11	0.385169E-17	0.344042E-23	0.953730E-30	0.999988E+00	0.708717E-05	0.111829E-05	0.386166E-06	0.180762E-06	0.997103E-07	0.999997E+00	0.294386E-05	0.100000E+01 
00049	0.999944E+00	0.238533E-08	0.327883E-04	0.518075E-09	0.512168E-05	0.260342E-09	0.200151E-09	0.176163E-05	0.109495E-09	0.899108E-15	0.985943E-10	0.823044E-06	0.548368E-10	0.628776E-15	0.176536E-20	0.558969E-10	0.453524E-06	0.312381E-10	0.409474E-15	0.173001E-20	0.225747E-26	0.999944E+00	0.327907E-04	0.512246E-05	0.176194E-05	0.823197E-06	0.453611E-06	0.999985E+00	0.128870E-04	0.999998E+00 
00059	0.999831E+00	0.878767E-08	0.101936E-03	0.118050E-08	0.157184E-04	0.265745E-08	0.390987E-09	0.537908E-05	0.111600E-08	0.296721E-13	0.179946E-09	0.250700E-05	0.558495E-09	0.207478E-13	0.186953E-18	0.984103E-10	0.137957E-05	0.318016E-09	0.135104E-13	0.183205E-18	0.765013E-24	0.999831E+00	0.101945E-03	0.157222E-04	0.538058E-05	0.250774E-05	0.137999E-05	0.999957E+00	0.373704E-04	0.999995E+00 
00069	0.999622E+00	0.495543E-07	0.232838E-03	0.618816E-08	0.353198E-04	0.148587E-07	0.197538E-08	0.120091E-04	0.622779E-08	0.398861E-12	0.892057E-09	0.557957E-05	0.311360E-08	0.278864E-12	0.598599E-17	0.482624E-09	0.306507E-05	0.177195E-08	0.181575E-12	0.586600E-17	0.582349E-22	0.999622E+00	0.232887E-03	0.353409E-04	0.120173E-04	0.558357E-05	0.306732E-05	0.999911E+00	0.783210E-04	0.999989E+00 
00079	0.999355E+00	0.180162E-06	0.408108E-03	0.231558E-07	0.606708E-04	0.496827E-07	0.747593E-08	0.204639E-04	0.207737E-07	0.249094E-11	0.339464E-08	0.947097E-05	0.103732E-07	0.174135E-11	0.690341E-16	0.184221E-08	0.519158E-05	0.589935E-08	0.113375E-11	0.676526E-16	0.123838E-20	0.999355E+00	0.408288E-03	0.607436E-04	0.204921E-04	0.948474E-05	0.519933E-05	0.999860E+00	0.123753E-03	0.999983E+00 
00089	0.999142E+00	0.392073E-06	0.557849E-03	0.513724E-07	0.811070E-04	0.101787E-06	0.167095E-07	0.271146E-04	0.424507E-07	0.747229E-11	0.761439E-08	0.124950E-04	0.211700E-07	0.522300E-11	0.299648E-15	0.414028E-08	0.683286E-05	0.120307E-07	0.340031E-11	0.293661E-15	0.776752E-20	0.999142E+00	0.558241E-03	0.812601E-04	0.271738E-04	0.125238E-04	0.684903E-05	0.999828E+00	0.151186E-03	0.999979E+00 
00099	0.999088E+00	0.490367E-06	0.599636E-03	0.652114E-07	0.863210E-04	0.122504E-06	0.213283E-07	0.287433E-04	0.510351E-07	0.996017E-11	0.974422E-08	0.132200E-04	0.254370E-07	0.696147E-11	0.440233E-15	0.530579E-08	0.722159E-05	0.144511E-07	0.453191E-11	0.431440E-15	0.125709E-19	0.999088E+00	0.600126E-03	0.865087E-04	0.288156E-04	0.132552E-04	0.724135E-05	0.999824E+00	0.154711E-03	0.999978E+00 
00109	0.999096E+00	0.284000E-06	0.556305E-03	0.380926E-07	0.857932E-04	0.749358E-07	0.124811E-07	0.292990E-04	0.315210E-07	0.439614E-11	0.570512E-08	0.136364E-04	0.157853E-07	0.307676E-11	0.145202E-15	0.310702E-08	0.749748E-05	0.899157E-08	0.200449E-11	0.142350E-15	0.311705E-20	0.999096E+00	0.556589E-03	0.859062E-04	0.293430E-04	0.136579E-04	0.750959E-05	0.999789E+00	0.187737E-03	0.999976E+00 
00119	0.998650E+00	0.685490E-07	0.708698E-03	0.145679E-07	0.130787E-03	0.382325E-07	0.555596E-08	0.471290E-04	0.181640E-07	0.402741E-12	0.271840E-08	0.224539E-04	0.960875E-08	0.300086E-12	0.242740E-17	0.153521E-08	0.124985E-04	0.563631E-08	0.202379E-12	0.240745E-17	0.161320E-22	0.998650E+00	0.708766E-03	0.130840E-03	0.471527E-04	0.224662E-04	0.125057E-04	0.999572E+00	0.386237E-03	0.999958E+00 
00129	0.996782E+00	0.147389E-05	0.166304E-02	0.338161E-06	0.317977E-03	0.322951E-06	0.130034E-06	0.115308E-03	0.159515E-06	0.139284E-10	0.637399E-07	0.550512E-04	0.856709E-07	0.109730E-10	0.198951E-15	0.360175E-07	0.306716E-04	0.506335E-07	0.761156E-11	0.213272E-15	0.119314E-20	0.996782E+00	0.166451E-02	0.318638E-03	0.115597E-03	0.552006E-04	0.307583E-04	0.998967E+00	0.931734E-03	0.999899E+00 
00139	0.992404E+00	0.133525E-04	0.417075E-02	0.286774E-05	0.752438E-03	0.265359E-05	0.107975E-05	0.267917E-03	0.128707E-05	0.374413E-09	0.524250E-06	0.126864E-03	0.685707E-06	0.294902E-09	0.150978E-13	0.294722E-06	0.703705E-04	0.403532E-06	0.204525E-09	0.164003E-13	0.181969E-18	0.992404E+00	0.418410E-02	0.757960E-03	0.270284E-03	0.128074E-03	0.710690E-04	0.997815E+00	0.195739E-02	0.999773E+00 
00149	0.985003E+00	0.699308E-04	0.862983E-02	0.139819E-04	0.147059E-02	0.141339E-04	0.515049E-05	0.513954E-03	0.668491E-05	0.508075E-08	0.247633E-05	0.241318E-03	0.352277E-05	0.394931E-08	0.430398E-12	0.138485E-05	0.133250E-03	0.206116E-05	0.272101E-08	0.464514E-12	0.426031E-17	0.985003E+00	0.869977E-02	0.149871E-02	0.525794E-03	0.247321E-03	0.136699E-03	0.996112E+00	0.346218E-02	0.999574E+00 
00159	0.975339E+00	0.244075E-03	0.145208E-01	0.459084E-04	0.237086E-02	0.499099E-04	0.165796E-04	0.816204E-03	0.231356E-04	0.391631E-07	0.790002E-05	0.380586E-03	0.120814E-04	0.300088E-07	0.752384E-11	0.439659E-05	0.209363E-03	0.703435E-05	0.205238E-07	0.792951E-11	0.523567E-15	0.975339E+00	0.147649E-01	0.246667E-02	0.855958E-03	0.400598E-03	0.220815E-03	0.994048E+00	0.528076E-02	0.999329E+00 
